id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1u08HAa0jwl43HctgwwipV,0.646,0.369,1.0,-13.549,1.0,0.0419,0.734,0.000147,0.14,0.262,110.905,4.0
4jvjzW7Hm0yK4LvvE0Paz9,0.669,0.574,4.0,-6.442,0.0,0.0286,0.0175,0.00294,0.146,0.273,120.013,4.0
16DNJ8y6k97DxuMyV49W7V,0.706,0.622,7.0,-6.032,1.0,0.113,0.493,0.0,0.102,0.615,90.022,4.0
6lOrOSBGBDZXIQALvs8igt,0.788,0.602,7.0,-6.451,0.0,0.0367,0.368,6.77e-05,0.126,0.269,82.009,4.0
70LLyzO7jT6DsQvCwwHDch,0.74,0.649,7.0,-4.297,1.0,0.0601,0.172,0.000237,0.111,0.645,94.02,4.0
2pb85vmXEfRKI3DjjUBvum,0.69,0.708,8.0,-5.985,0.0,0.0803,0.245,6.52e-05,0.0483,0.698,90.263,4.0
7v9AulMhVGemWErlV9k5Cu,0.754,0.866,7.0,-4.393,1.0,0.195,0.486,0.0,0.0766,0.769,107.15,3.0
30jAaWnKDzPLGETJwwPON6,0.539,0.975,6.0,-4.776,1.0,0.126,0.412,3.28e-05,0.684,0.466,95.588,4.0
2g1oUOP1r8DpzXvd1PMafY,0.619,0.671,7.0,-6.811,1.0,0.0819,0.644,0.0,0.152,0.831,104.362,3.0
1eVnOimXaPos2ua7Rxb7vY,0.835,0.775,4.0,-6.371,0.0,0.238,0.468,3.95e-06,0.54,0.801,105.034,4.0
0dUdZidAd0WqUQLPgzsyvz,0.308,0.579,5.0,-5.337,0.0,0.0639,0.765,1.99e-05,0.187,0.554,92.409,5.0
7KKx4INB8LyGUeNXKiqQHK,0.45,0.634,4.0,-14.734,0.0,0.036,0.845,0.872,0.0829,0.907,103.048,4.0
0DbxsVb7QNeRfyPbDFN4xe,0.572,0.533,6.0,-7.686,1.0,0.0472,0.703,0.0,0.255,0.688,74.912,4.0
3Qk5EjQ3eTpux9QJPz7fXO,0.695,0.673,4.0,-7.762,1.0,0.155,0.742,0.00231,0.0833,0.683,117.525,3.0
7kx16uASlUzdWK6wP190HU,0.615,0.85,7.0,-14.659,1.0,0.305,0.697,0.0109,0.0551,0.315,124.455,3.0
2JssFLMkPIvOxlixAAqwbo,0.645,0.672,4.0,-6.876,0.0,0.29,0.525,8.48e-05,0.0857,0.817,86.002,4.0
17PpzH1cJhJbKANGeyf7o4,0.813,0.645,3.0,-7.657,0.0,0.0953,0.79,0.000295,0.0597,0.669,125.907,3.0
6ADzlFXHPk846zUCEOM2C1,0.664,0.688,4.0,-10.4,0.0,0.0424,0.625,0.856,0.129,0.797,172.955,4.0
1y4pC42VYb14C2zztl59ZH,0.432,0.442,11.0,-10.001,0.0,0.0358,0.763,0.0,0.162,0.639,150.572,4.0
3Gz09canHR0glPADYFmOzj,0.55,0.821,4.0,-4.952,0.0,0.0832,0.524,3.07e-06,0.488,0.558,83.722,4.0
7zJphXiYLQXtR9jfBAKV2O,0.694,0.794,7.0,-7.177,1.0,0.0521,0.715,0.0117,0.167,0.788,119.961,3.0
5UOzQpO62ljPFDqquxGDqT,0.467,0.736,2.0,-8.612,1.0,0.131,0.826,0.000155,0.168,0.77,161.653,4.0
1jBAhvblb0BXM8hsBXqRzE,0.715,0.394,8.0,-17.293,1.0,0.0546,0.754,5.15e-05,0.0585,0.673,83.233,4.0
1C8MXjantb8mNWvjQmnROe,0.642,0.679,6.0,-7.188,0.0,0.105,0.556,0.0,0.0655,0.851,169.739,4.0
3UmTu3fi75H6uev3t6lvJc,0.551,0.83,9.0,-11.19,1.0,0.0578,0.693,1.84e-06,0.0846,0.836,98.151,4.0
3Z110sUQBvHRV5lC1H49iL,0.84,0.422,10.0,-10.02,0.0,0.103,0.481,0.000195,0.0519,0.614,104.436,3.0
